workerid,proliferate.condition,chance,id,error
79,Main,0,52,
79,Main,100,26,
79,Main,0,44,
79,Main,0,10,
79,Main,7,16,
79,Main,0,4,
79,Main,0,51,
79,Main,100,33,
79,Main,0,42,
79,Main,0,19,
79,Main,79,11,
79,Main,0,36,
79,Main,0,2,
79,Main,3,18,
79,Main,0,14,
79,Main,100,5,
79,Main,100,20,
79,Main,0,32,
79,Main,0,34,
79,Main,0,37,
79,Main,0,30,
79,Main,0,6,
79,Main,5,7,
79,Main,0,35,
79,Main,100,46,
79,Main,2,31,
79,Main,79,38,
79,Main,0,1,
79,Main,0,29,
79,Main,0,43,
79,Main,0,17,
79,Main,78,23,
79,Main,100,49,
79,Main,37,8,
79,Main,0,39,
79,Main,1,13,
79,Main,0,53,
79,Main,1,45,
79,Main,100,15,
79,Main,0,47,
71,Main,3,34,
71,Main,3,28,
71,Main,4,6,
71,Main,2,36,
71,Main,6,43,
71,Main,76,22,
71,Main,6,25,
71,Main,7,30,
71,Main,14,13,
71,Main,12,53,
71,Main,7,18,
71,Main,2,44,
71,Main,78,5,
71,Main,28,52,
71,Main,28,31,
71,Main,75,48,
71,Main,18,40,
71,Main,21,32,
71,Main,62,8,
71,Main,28,3,
71,Main,17,16,
71,Main,58,21,
71,Main,70,33,
71,Main,34,7,
71,Main,20,35,
71,Main,66,9,
71,Main,27,4,
71,Main,52,11,
71,Main,27,29,
71,Main,24,10,
71,Main,47,47,
71,Main,81,46,
71,Main,19,2,
71,Main,68,45,
71,Main,30,12,
71,Main,29,37,
71,Main,56,51,
71,Main,31,1,
71,Main,42,24,
71,Main,42,17,
71,Main,32,41,
71,Main,40,23,
71,Main,44,27,
71,Main,43,39,
71,Main,37,19,
71,Main,74,15,
71,Main,30,20,
71,Main,27,14,
71,Main,64,38,
71,Main,59,42,
71,Main,63,50,
71,Main,68,26,
71,Main,63,49,
84,Main,0,42,
84,Main,100,9,
84,Main,100,49,
84,Main,5,24,
84,Main,93,45,
84,Main,32,31,
84,Main,0,44,
84,Main,41,17,
84,Main,0,13,
84,Main,7,8,
84,Main,87,11,
84,Main,0,23,
84,Main,0,36,
84,Main,0,25,
84,Main,0,37,
84,Main,0,41,
84,Main,0,28,
84,Main,0,47,
84,Main,100,22,
84,Main,0,7,
84,Main,0,10,
84,Main,100,5,
84,Main,100,33,
84,Main,0,30,
84,Main,0,35,
84,Main,0,50,
84,Main,100,20,
84,Main,0,21,
84,Main,92,46,
84,Main,0,38,
84,Main,0,12,
84,Main,100,48,
84,Main,0,53,
84,Main,0,3,
84,Main,0,6,
84,Main,0,32,
84,Main,0,52,
84,Main,0,43,
84,Main,0,16,
84,Main,0,19,
84,Main,8,40,
84,Main,100,15,
84,Main,0,34,
84,Main,0,18,
84,Main,0,2,
84,Main,0,14,
84,Main,0,1,
84,Main,0,27,
84,Main,0,51,
84,Main,0,4,
